OldGenus,OldSpecies,NewGenus,NewSpecies
Hermannia,multiflora,Hermannia,multiflora
Hermannia,ternifolia,Hermannia,ternifolia
Hermas,villosa,Hermas,villosa
Hippia,pilosa,Hippia,pilosa
Hyobanche,sanguinea,Hyobanche,sanguinea
Hypodiscus,albo - aristatus,Hypodiscus,albo-aristatus
Hypodiscus,albo.aristatus,Hypodiscus,albo-aristatus
Hypodiscus,aristatus,Hypodiscus,aristatus
Hypodiscus,willdenowia,Hypodiscus,willdenowia
Ifloga,ambigua,Trichogyne,ambigua
Indigofera,angustifolia,Indigofera,angustifolia
Indigofera,brachystachya,Indigofera,brachystachya
Indigofera,filifolia,Indigofera,filifolia
Indigofera,glomerata,Indigofera,glomerata
Indigofera,mauritanica,Indigofera,mauritanica
Indigofera,sarmentosa,Indigofera,sarmentosa
Ischyrolepis,capensis,Ischyrolepis,capensis
Ischyrolepis,cincinnata,Ischyrolepis,cincinnata
Ischyrolepis,eleocharis,Ischyrolepis,eleocharis
Ischyrolepis,palludosa,Restio,paludosus
Ischyrolepis,paludosa,Ischyrolepis,paludosa
Isolepis,marginata,Isolepis,marginata
Itasina,filifolia,Itasina,filifolia
Juncus,capensis,Juncus,capensis
Juncus,krausii,Juncus,kraussii
Kedrostis,nana,Kedrostis,nana
Knowltonia,capensis,Knowltonia,capensis
Knowltonia,vesicatoria,Knowltonia,vesicatoria
Lachnaea,densiflora,Lachnaea,densiflora
Lachnaea,densifolia,Lachnaea,densiflora
Lachnaea,grandiflora,Lachnaea,grandiflora
Lachnaea (Cryptadenia),grandiflora,Lachnaea,grandiflora
Lachnea,grandiflora,Lachnaea,grandiflora
Lampranthus,austricolus,Lampranthus,austricola
Lampranthus,bicolor,Lampranthus,bicolor
Lampranthus,elegans,Lampranthus,elegans
Lampranthus,emarginatus,Lampranthus,emarginatus
Lampranthus,falciformis,Lampranthus,falciformis
Lampranthus,promontorii,Lampranthus,promontorii
Lampranthus,stenus,Lampranthus,stenus
Lampranthus,tenuifolius,Lampranthus,tenuifolius
Laurembergia,repens,Laurembergia,repens
Lebeckia,meyeriana,Lebeckia,meyeriana
Leucadendron,coniferum,Leucadendron,coniferum
Leucadendron,laureolum,Leucadendron,laureolum
Leucadendron,salignum,Leucadendron,salignum
Leucadendron,xanthoconus,Leucadendron,xanthoconus
Leucospermum,conocarpodendron,Leucospermum,conocarpodendron
Leucospermum,hypophyllocarpodendr,Leucospermum,hypophyllocarpodendron
Leucospermum,hypophyllocarpodendron,Leucospermum,hypophyllocarpodendron
Lichtensteinia,lacera,Lichtensteinia,lacera
Lightfootia,longifolia,Wahlenbergia,longifolia
Lightfootia,parvifolia,Wahlenbergia,parvifolia
Lightfootia,tenella,Wahlenbergia,tenella
Lightfootia,tenuis,Wahlenbergia,pyrophila
Limonium,scabrum,Limonium,scabrum
Linum,africanum,Linum,africanum
Linum,thunbergii,Linum,thunbergii
Liparia,parva,Liparia,parva
Lobelia,anceps,Lobelia,anceps
Lobelia,comosa,Lobelia,comosa
Lobelia,coronopifolia,Lobelia,coronopifolia
Lobelia,pinifolia,Lobelia,pinifolia
Lobelia,setacea,Lobelia,setacea
Lobostemon,fruticosus,Lobostemon,fruticosus
Lobostemon,montanus,Lobostemon,montanus
Macrostylis,villosa,Macrostylis,villosa
Manulea,cheilanthes,Manulea,cheiranthus
Manulea,cheiranthus,Manulea,cheiranthus
Manulea,tomentosa,Manulea,tomentosa
Mariscus,thunbergii,Cyperus,thunbergii
Mastersiella,digitata,Mastersiella,digitata
Maurocenia,frangularia,Maurocenia,frangularia
Maytenus,lucida,Maytenus,lucida
Merxmuellera,cincta,Merxmuellera,cincta
Merxmuellera,rufa,Merxmuellera,rufa
Merxmuellera,stricta,Tenaxia,stricta
Mesembryanthemum,cristallinum,Mesembryanthemum,crystallinum
Metalasia,brevifolia,Metalasia,brevifolia
Metalasia,cephalotes,Metalasia,cephalotes
Metalasia,densa,Metalasia,densa
Metalasia,muricata,Metalasia,muricata
Microdon,dubia,Microdon,dubius
Microdon,dubius,Microdon,dubius
Microdon (Agathelpis),dubius,Microdon,dubius
Microndon,dubius,Microdon,dubius
Mimetes,fimbriifolius,Mimetes,fimbriifolius
Monopsis,lutea,Monopsis,lutea
Moraea,fugax,Moraea,fugax
Moraea,tripetala,Moraea,tripetala
Muraltia,acipetala,Muraltia,acipetala
Muraltia,alopecuroides,Muraltia,alopecuroides
Muraltia,demissa,Muraltia,demissa
Muraltia,ericifolia,Muraltia,ericaefolia
Muraltia,ericoides,Muraltia,ericoides
Muraltia,filiformis,Muraltia,filiformis
Muraltia,pageae,Muraltia,pageae
Muraltia,rosmarinifolia,Muraltia,rosmarinifolia
Muraltia,satureioides,Muraltia,satureioides
Muraltia,sp. Prev. Lapa,Muraltia,sp.
Muraltia,thunbergii,Muraltia,thunbergii
Myrica,cordifolia,Morella,cordifolia
Myrica,quercifolia,Morella,quercifolia
Myrsine,africana,Myrsine,africana
Nemesia,barbata,Nemesia,barbata
Nylandtia,spinosa,Nylandtia,spinosa
Oedera,imbricata,Oedera,imbricata
Olea,capensis,Olea,capensis
Olea,exasperata,Olea,exasperata
Ornithogalum,flaccida,Ornithogalum,flaccida
Ornithogalum (Albuca),imbricata,Ornithogalum,imbricatum
Osmitopsis,asteriscoides,Osmitopsis,asteriscoides
Osteospermum,polygaloides,Osteospermum,polygaloides
Osyris,compressa,Osyris,compressa
Othonna,arborescens,Othonna,arborescens
Othonna,digitata,Othonna,digitata
Othonna,quinquedentata,Othonna,quinquedentata
Oxalis,sp.,Oxalis,sp.
Oxalis,versicolor,Oxalis,versicolor
Passerina,corymbos (vulgaris),Passerina,corymbosa
Passerina,corymbosa,Passerina,corymbosa
Passerina,corymbosa (vulgaris),Passerina,corymbosa
Passerina,paleacea,Passerina,paleacea
Passerina,vulgaris,Passerina,corymbosa
Pelargonium,betulinum,Pelargonium,betulinum
Pelargonium,capitatum,Pelargonium,capitatum
Pelargonium,cucullatum,Pelargonium,cucullatum
Pelargonium,gibbosum,Pelargonium,gibbosum
Pelargonium,grossulariodes,Pelargonium,grossularioides
Pelargonium,longifolium,Pelargonium,longifolium
Pelargonium,myrrhifolium,Pelargonium,myrrhifolium
Pelargonium,tabulare,Pelargonium,tabulare
Pelargonium,triste,Pelargonium,triste
Penaea,mucronata,Penaea,mucronata
Pentaschistis,acinosa,Pentameris,acinosa
Pentaschistis,aurea,Pentaschistis,aurea
Pentaschistis,colorata,Pentaschistis,colorata
Pentaschistis,curvifolia,Pentaschistis,curvifolia
Pentaschistis,macrocalycina,Pentameris,macrocalycina
Pentaschistis,malouinensis,Pentaschistis,malouinensis
Pentaschistis,pallida,Pentaschistis,pallida
Pentaschistis,papillosa,Pentaschistis,papillosa
Petalacte,coronata,Petalacte,coronata
Phaenocoma,prolifera,Phaenocoma,prolifera
Pharnaceum,cordifolium,Pharnaceum,cordifolium
Pharnaceum,elogatum,Pharnaceum,elongatum
Pharnaceum,lanatum,Pharnaceum,lanatum
Phylica,buxifolia,Phylica,buxifolia
Phylica,dodii,Phylica,dodii
Phylica,ericoides,Phylica,ericoides
Phylica,imberbis,Phylica,imberbis
Phylica,parviflora,Phylica,parviflora
Phylica,stipularis,Trichocephalus,stipularis
Plantago,crassifolia,Plantago,crassifolia
Platycaulos,compressus,Platycaulos,compressus
Plecostachys,serpyllifolia,Plecostachys,serpyllifolia
Ploygala,bracteolata,Polygala,bracteolata
Polpoda,capensis,Polpoda,capensis
Polygala,bracteolata,Polygala,bracteolata
Polygala,garcini,Polygala,garcinii
Polygala,myrtifolia,Polygala,myrtifolia
Polygala,recognita,Polygala,recognita
Polypogon,strictus,Polypogon,strictus
Prismatocarpus,sessilis,Prismatocarpus,sessilis
Protasparagus,aethiopicus,Asparagus,aethiopicus
Protasparagus,capensis,Asparagus,capensis
Protasparagus,compactus,Protasparagus,confertus
Protasparagus,rubicundus,Asparagus,rubicundus
Protea,acaulos,Protea,acaulos
Protea,cynaroides,Protea,cynaroides
Protea,lepidocarpodendron,Protea,lepidocarpodendron
